;ANO_LETIVO;CD_DIRETORIA;NM_DIRETORIA;APR_1;REP_1;ABA_1;APR_2;REP_2;ABA_2;APR_3;REP_3;ABA_3;CD_DIRETORIA_ANO
66;2022;20306;ITU;99.89;0.11;0.0;97.11;2.68;0.21;93.46;6.07;0.47;203062022
67;2022;20512;SERTAOZINHO;100.0;0.0;0.0;99.18;0.63;0.19;97.36;1.73;0.91;205122022
68;2022;21004;OURINHOS;99.51;0.49;0.0;98.13;1.17;0.7;93.77;4.9;1.33;210042022
69;2022;20506;JABOTICABAL;0.0;0.0;0.0;97.88;1.19;0.93;95.18;1.69;3.13;205062022
70;2022;20904;PRESIDENTE PRUDENTE;96.6;3.4;0.0;96.86;2.73;0.41;90.39;7.78;1.83;209042022
71;2022;20804;PENAPOLIS;100.0;0.0;0.0;98.98;0.99;0.03;97.53;2.12;0.35;208042022
72;2022;20704;JOSE BONIFACIO;96.93;3.07;0.0;98.68;0.97;0.35;96.78;2.45;0.77;207042022
73;2022;10602;MAUA;99.61;0.29;0.1;97.15;2.49;0.36;91.46;7.03;1.51;106022022
74;2022;10101;NORTE 1;99.13;0.6;0.27;95.07;4.42;0.51;84.48;13.37;2.15;101012022
75;2022;20303;BOTUCATU;0.0;0.0;0.0;97.26;2.01;0.73;92.26;6.71;1.03;203032022
76;2022;10316;CENTRO SUL;99.36;0.39;0.25;96.89;2.62;0.49;89.23;9.89;0.88;103162022
77;2022;10702;ITAPECERICA DA SERRA;99.93;0.02;0.05;98.95;0.76;0.29;96.89;2.3;0.81;107022022
78;2022;10207;LESTE 1;99.18;0.44;0.38;94.11;4.54;1.35;83.49;12.59;3.92;102072022
79;2022;10502;SUZANO;99.49;0.37;0.14;97.43;1.78;0.79;91.31;5.95;2.74;105022022
80;2022;10402;GUARULHOS SUL;99.41;0.49;0.1;97.5;2.3;0.2;92.29;6.96;0.75;104022022
81;2022;10210;LESTE 2;99.41;0.28;0.31;97.57;2.25;0.18;92.51;7.02;0.47;102102022
82;2022;20103;SAO VICENTE;97.46;2.54;0.0;96.07;3.53;0.4;91.2;7.99;0.81;201032022
83;2022;20415;SUMARE;99.47;0.49;0.04;97.72;1.9;0.38;93.56;5.57;0.87;204152022
84;2022;20403;BRAGANCA PAULISTA;100.0;0.0;0.0;99.54;0.02;0.44;98.89;0.18;0.93;204032022
85;2022;20601;BAURU;99.08;0.8;0.12;96.84;2.48;0.68;90.62;6.3;3.08;206012022
86;2022;20701;CATANDUVA;0.0;0.0;0.0;99.13;0.85;0.02;98.08;1.72;0.2;207012022
87;2022;20801;ANDRADINA;0.0;0.0;0.0;99.24;0.68;0.08;96.44;3.14;0.42;208012022
88;2022;20901;ADAMANTINA;100.0;0.0;0.0;98.71;0.99;0.3;96.4;2.77;0.83;209012022
89;2022;20409;MOGI MIRIM;99.16;0.84;0.0;97.21;1.76;1.03;90.75;5.45;3.8;204092022
90;2022;20509;SAO CARLOS;99.92;0.08;0.0;99.31;0.62;0.07;97.37;2.15;0.48;205092022
0;2021;10102;CENTRO;99.66;0.21;0.13;97.5;2.42;0.08;96.42;3.4;0.18;101022021
1;2021;20304;ITAPETININGA;99.92;0.08;0.0;99.39;0.23;0.38;98.63;0.61;0.76;203042021
2;2021;10703;ITAPEVI;0.0;0.0;0.0;98.99;0.61;0.4;97.64;1.23;1.13;107032021
3;2021;10503;ITAQUAQUECETUBA;98.63;1.37;0.0;98.51;1.35;0.14;97.02;2.71;0.27;105032021
4;2021;10603;SANTO ANDRE;98.69;1.18;0.13;98.37;1.35;0.28;96.4;3.31;0.29;106032021
